请求时间,IP:端口,是否成功,有效URL,状态码,响应时间(秒),频道数,URL类型,失败原因
2026-04-09T12:53:34.951935,182.207.218.93:999,False,,,,0,,超时: http://182.207.218.93:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.956235,182.207.218.98:999,False,,,,0,,超时: http://182.207.218.98:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.955323,182.207.218.97:999,False,,,,0,,超时: http://182.207.218.97:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.953627,182.207.218.95:999,False,,,,0,,超时: http://182.207.218.95:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.957407,182.207.218.99:999,False,,,,0,,超时: http://182.207.218.99:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.884196,182.207.218.161:999,False,,,,0,,连接失败: http://182.207.218.161:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.412910,182.207.218.104:999,False,,,,0,,超时: http://182.207.218.104:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.411311,182.207.218.103:999,False,,,,0,,超时: http://182.207.218.103:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.418107,182.207.218.105:999,False,,,,0,,超时: http://182.207.218.105:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.419458,182.207.218.106:999,False,,,,0,,超时: http://182.207.218.106:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.422633,182.207.218.107:999,False,,,,0,,超时: http://182.207.218.107:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.889071,182.207.218.166:999,False,,,,0,,连接失败: http://182.207.218.166:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.902734,182.207.218.173:999,False,,,,0,,连接失败: http://182.207.218.173:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.913711,182.207.218.180:999,False,,,,0,,连接失败: http://182.207.218.180:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.430239,182.207.218.111:999,False,,,,0,,超时: http://182.207.218.111:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.426521,182.207.218.109:999,False,,,,0,,超时: http://182.207.218.109:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.437876,182.207.218.112:999,False,,,,0,,超时: http://182.207.218.112:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.440570,182.207.218.113:999,False,,,,0,,超时: http://182.207.218.113:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.910484,182.207.218.177:999,False,,,,0,,连接失败: http://182.207.218.177:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.444201,182.207.218.117:999,False,,,,0,,超时: http://182.207.218.117:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.445368,182.207.218.118:999,False,,,,0,,超时: http://182.207.218.118:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.915456,182.207.218.181:999,False,,,,0,,连接失败: http://182.207.218.181:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.452306,182.207.218.119:999,False,,,,0,,超时: http://182.207.218.119:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.453232,182.207.218.120:999,False,,,,0,,超时: http://182.207.218.120:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.455646,182.207.218.122:999,False,,,,0,,超时: http://182.207.218.122:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.936166,182.207.218.192:999,False,,,,0,,连接失败: http://182.207.218.192:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.458962,182.207.218.123:999,False,,,,0,,超时: http://182.207.218.123:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.944295,182.207.218.200:999,False,,,,0,,连接失败: http://182.207.218.200:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.466187,182.207.218.124:999,False,,,,0,,超时: http://182.207.218.124:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.467279,182.207.218.125:999,False,,,,0,,超时: http://182.207.218.125:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.468633,182.207.218.126:999,False,,,,0,,超时: http://182.207.218.126:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.935070,182.207.218.190:999,False,,,,0,,连接失败: http://182.207.218.190:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.948494,182.207.218.203:999,False,,,,0,,连接失败: http://182.207.218.203:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.950734,182.207.218.205:999,False,,,,0,,连接失败: http://182.207.218.205:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.945468,182.207.218.201:999,False,,,,0,,连接失败: http://182.207.218.201:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.958518,182.207.218.211:999,False,,,,0,,连接失败: http://182.207.218.211:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.475899,182.207.218.128:999,False,,,,0,,超时: http://182.207.218.128:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.954376,182.207.218.208:999,False,,,,0,,连接失败: http://182.207.218.208:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.949398,182.207.218.204:999,False,,,,0,,连接失败: http://182.207.218.204:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.959722,182.207.218.212:999,False,,,,0,,连接失败: http://182.207.218.212:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.483006,182.207.218.130:999,False,,,,0,,超时: http://182.207.218.130:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.493633,182.207.218.132:999,False,,,,0,,超时: http://182.207.218.132:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.967900,182.207.218.218:999,False,,,,0,,连接失败: http://182.207.218.218:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:41.430746,182.207.218.225:999,False,,,,0,,连接失败: http://182.207.218.225:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:41.420669,182.207.218.221:999,False,,,,0,,连接失败: http://182.207.218.221:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.950683,182.207.218.135:999,False,,,,0,,超时: http://182.207.218.135:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:41.428487,182.207.218.223:999,False,,,,0,,连接失败: http://182.207.218.223:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.961866,182.207.218.136:999,False,,,,0,,超时: http://182.207.218.136:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.965859,182.207.218.137:999,False,,,,0,,超时: http://182.207.218.137:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:41.449221,182.207.218.231:999,False,,,,0,,连接失败: http://182.207.218.231:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.968250,182.207.218.138:999,False,,,,0,,超时: http://182.207.218.138:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.972706,182.207.218.139:999,False,,,,0,,超时: http://182.207.218.139:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:41.445706,182.207.218.230:999,False,,,,0,,连接失败: http://182.207.218.230:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:41.453581,182.207.218.234:999,False,,,,0,,连接失败: http://182.207.218.234:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:35.991331,182.207.218.140:999,False,,,,0,,超时: http://182.207.218.140:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:41.464572,182.207.218.239:999,False,,,,0,,连接失败: http://182.207.218.239:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:41.474441,182.207.218.243:999,False,,,,0,,连接失败: http://182.207.218.243:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:41.488387,182.207.218.252:999,False,,,,0,,连接失败: http://182.207.218.252:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:41.483344,182.207.218.248:999,False,,,,0,,连接失败: http://182.207.218.248:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:41.476410,182.207.218.245:999,False,,,,0,,连接失败: http://182.207.218.245:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:36.012604,182.207.218.142:999,False,,,,0,,超时: http://182.207.218.142:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:36.465846,182.207.218.144:999,False,,,,0,,超时: http://182.207.218.144:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:36.471021,182.207.218.147:999,False,,,,0,,超时: http://182.207.218.147:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.908711,182.207.218.175:999,False,,,,0,,连接失败: http://182.207.218.175:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:36.480495,182.207.218.148:999,False,,,,0,,超时: http://182.207.218.148:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:36.483330,182.207.218.149:999,False,,,,0,,超时: http://182.207.218.149:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.932577,182.207.218.189:999,False,,,,0,,连接失败: http://182.207.218.189:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:36.515787,182.207.218.150:999,False,,,,0,,超时: http://182.207.218.150:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.962708,182.207.218.213:999,False,,,,0,,连接失败: http://182.207.218.213:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:40.946333,182.207.218.202:999,False,,,,0,,连接失败: http://182.207.218.202:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:41.434931,182.207.218.226:999,False,,,,0,,连接失败: http://182.207.218.226:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:41.452702,182.207.218.233:999,False,,,,0,,连接失败: http://182.207.218.233:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:36.993344,182.207.218.151:999,False,,,,0,,超时: http://182.207.218.151:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:36.995447,182.207.218.152:999,False,,,,0,,超时: http://182.207.218.152:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:36.997026,182.207.218.153:999,False,,,,0,,超时: http://182.207.218.153:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:41.429456,182.207.218.224:999,False,,,,0,,连接失败: http://182.207.218.224:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:41.463614,182.207.218.238:999,False,,,,0,,连接失败: http://182.207.218.238:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:41.465706,182.207.218.240:999,False,,,,0,,连接失败: http://182.207.218.240:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:37.997744,182.207.218.155:999,False,,,,0,,超时: http://182.207.218.155:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:38.030288,182.207.218.156:999,False,,,,0,,超时: http://182.207.218.156:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:38.590841,182.207.218.157:999,False,,,,0,,超时: http://182.207.218.157:999/ZHGXTV/Public/json/live_interface.txt
